Temperature,SS,G-10,Nylon,Lead,Brass,Nickel,Gd-Rh,Gd0.6-Er0.4-Rh,Er3-Ni,Er-Ni,Er-Ni2,Er-Al2,Er-Dy0.8-Ni2,Kapton,Nd,Er3-Ni (N),Er0.9-Yb0.1-Ni,Er3-Co,Er0.6-Pr0.4,Ho-Cu2,Er-Ni0.9-Co0.1,Ho2-Al,Er-Ag0.9-Al0.1,Ho-Sb,Dy-Sb,Gd-Sb,Er,Er0.5-Pr0.5,GAP_GdAlO 3,GOS_Gd 2 O 2 S
2.05172,0.00800,0.00098,0.00048,0.00239,0.00032,0.00216,0.07248,0.14362,0.02209,0.06440,0.08958,0.00083,0.01530,0.00017,0.03398,0.08424,0.04968,0.03848,,0.09410,0.03321,0.11604,0.00992,0.00010,0.01788,0.02317,,0.01710,0.30275,0.22721
2.07526,0.00809,0.00099,0.00048,0.00242,0.00033,0.00218,0.07361,0.14527,0.02273,0.06546,0.09116,0.00088,0.01563,0.00017,0.03476,0.08444,0.05100,0.03915,,0.09562,0.03454,0.11702,0.01008,0.00012,0.01798,0.02342,,0.01741,0.30637,0.22984
2.09906,0.00819,0.00100,0.00049,0.00245,0.00033,0.00221,0.07476,0.14693,0.02339,0.06653,0.09276,0.00093,0.01597,0.00018,0.03556,0.08465,0.05235,0.03983,,0.09717,0.03591,0.11802,0.01025,0.00013,0.01808,0.02367,,0.01773,0.31005,0.23248
2.12315,0.00828,0.00101,0.00050,0.00248,0.00033,0.00224,0.07591,0.14862,0.02407,0.06762,0.09440,0.00098,0.01631,0.00018,0.03638,0.08487,0.05372,0.04053,,0.09875,0.03732,0.11905,0.01042,0.00015,0.01819,0.02393,,0.01807,0.31379,0.23514
2.14751,0.00838,0.00102,0.00050,0.00251,0.00034,0.00226,0.07708,0.15033,0.02476,0.06872,0.09606,0.00104,0.01666,0.00019,0.03723,0.08510,0.05513,0.04124,,0.10035,0.03879,0.12010,0.01059,0.00017,0.01830,0.02420,,0.01840,0.31760,0.23782
2.17214,0.00847,0.00104,0.00051,0.00253,0.00034,0.00229,0.07826,0.15205,0.02548,0.06984,0.09775,0.00109,0.01702,0.00020,0.03809,0.08534,0.05657,0.04196,,0.10198,0.04030,0.12117,0.01076,0.00019,0.01841,0.02447,,0.01875,0.32148,0.24051
2.19706,0.00857,0.00105,0.00051,0.00256,0.00034,0.00232,0.07946,0.15379,0.02622,0.07097,0.09947,0.00116,0.01739,0.00020,0.03898,0.08558,0.05804,0.04270,,0.10364,0.04187,0.12227,0.01094,0.00022,0.01852,0.02474,,0.01910,0.32543,0.24322
2.22227,0.00867,0.00106,0.00052,0.00259,0.00035,0.00234,0.08067,0.15556,0.02698,0.07212,0.10122,0.00122,0.01776,0.00021,0.03990,0.08584,0.05954,0.04346,,0.10532,0.04348,0.12339,0.01113,0.00024,0.01863,0.02502,,0.01946,0.32945,0.24594
2.24777,0.00877,0.00107,0.00052,0.00262,0.00035,0.00237,0.08189,0.15734,0.02776,0.07328,0.10300,0.00129,0.01814,0.00021,0.04083,0.08612,0.06107,0.04423,,0.10703,0.04515,0.12454,0.01132,0.00028,0.01875,0.02531,,0.01983,0.33356,0.24869
2.27355,0.00887,0.00108,0.00053,0.00265,0.00036,0.00240,0.08313,0.15915,0.02856,0.07445,0.10481,0.00136,0.01853,0.00022,0.04179,0.08640,0.06264,0.04502,,0.10877,0.04687,0.12571,0.01151,0.00031,0.01887,0.02560,,0.02021,0.33776,0.25145
2.29964,0.00897,0.00110,0.00054,0.00268,0.00036,0.00243,0.08438,0.16097,0.02939,0.07564,0.10665,0.00144,0.01893,0.00023,0.04278,0.08669,0.06424,0.04582,,0.11053,0.04865,0.12691,0.01171,0.00036,0.01899,0.02590,,0.02060,0.34204,0.25423
2.32602,0.00907,0.00111,0.00054,0.00271,0.00036,0.00246,0.08565,0.16282,0.03024,0.07685,0.10853,0.00152,0.01934,0.00023,0.04379,0.08700,0.06587,0.04664,,0.11233,0.05048,0.12813,0.01192,0.00040,0.01912,0.02620,,0.02100,0.34642,0.25704
2.35271,0.00918,0.00112,0.00055,0.00274,0.00037,0.00249,0.08693,0.16469,0.03111,0.07807,0.11044,0.00161,0.01976,0.00024,0.04483,0.08732,0.06754,0.04748,,0.11415,0.05237,0.12938,0.01213,0.00046,0.01924,0.02651,,0.02140,0.35091,0.25986
2.37970,0.00928,0.00113,0.00056,0.00278,0.00037,0.00252,0.08823,0.16658,0.03201,0.07931,0.11238,0.00170,0.02018,0.00025,0.04590,0.08766,0.06924,0.04834,,0.11601,0.05432,0.13065,0.01235,0.00052,0.01937,0.02682,,0.02181,0.35550,0.26271
2.40700,0.00939,0.00115,0.00056,0.00281,0.00038,0.00255,0.08954,0.16849,0.03294,0.08057,0.11436,0.00180,0.02062,0.00026,0.04699,0.08800,0.07097,0.04921,,0.11789,0.05632,0.13195,0.01257,0.00059,0.01951,0.02715,,0.02224,0.36020,0.26557
2.43462,0.00950,0.00116,0.00057,0.00284,0.00038,0.00258,0.09086,0.17042,0.03389,0.08184,0.11637,0.00190,0.02106,0.00027,0.04811,0.08836,0.07275,0.05010,,0.11980,0.05839,0.13327,0.01280,0.00067,0.01964,0.02747,,0.02267,0.36503,0.26847
2.46255,0.00960,0.00117,0.00057,0.00287,0.00039,0.00261,0.09220,0.17238,0.03487,0.08312,0.11842,0.00201,0.02151,0.00027,0.04926,0.08874,0.07456,0.05101,,0.12175,0.06051,0.13463,0.01303,0.00077,0.01978,0.02781,,0.02311,0.36999,0.27138
2.49080,0.00971,0.00119,0.00058,0.00291,0.00039,0.00264,0.09356,0.17436,0.03588,0.08443,0.12050,0.00212,0.02198,0.00028,0.05044,0.08913,0.07640,0.05194,,0.12372,0.06270,0.13600,0.01327,0.00087,0.01992,0.02815,,0.02357,0.37509,0.27432
